,city,latd,longd
0,HaNoi,21.028333,105.853333
1,LaoCai,22.379997,104.15786
2,YenBai,21.693161,104.872742
3,DienBien,21.3853964,103.0139125
4,HoaBinh,20.83111,105.3397
5,LaiChau,22.386226,103.265991
6,SonLa,21.342757,103.914528
7,HaGiang,22.8168,104.980738
8,CaoBang,22.685618,106.263084 
9,BacKan,22.161335,105.830498 
10,LangSon,21.853851,106.761189
11,TuyenQuang,21.777355,105.228424
12,ThaiNguyen,21.59083,105.87694
13,PhuTho,21.262501,105.125427
14,BacGiang,21.274838,106.201583
15,QuangNinh,21.250982,107.193604
16,BacNinh,21.007548,106.073406
17,HaNam,20.585867,105.923996
18,HaiDuong,20.93333,106.31667
19,HaiPhong,20.866389,106.6825
21,HungYen,20.85432,106.016006
22,NamDinh,20.25,106.25
23,NinhBinh,20.250924,105.974808
24,ThaiBinh,20.538935,106.394348
25,VinhPhuc,21.363571,105.548401
